Nom,Illustration,Description
Cake,,"Gâteau de forme ronde ou rectangulaire, contenant des raisins secs et des fruits confits, qu'on sert en tranches."
Cake pop,,"Il s'agit généralement d'un petit gâteau arrondi de la taille d'une grosse bille qui est recouvert d'un glaçage, de chocolat ou de décorations, puis est fixé sur un bâton de sucettes."
Ça va se savoir,,
Canelé bordelais (France),,"Petit gâteau bordelais, en forme de cylindre cannelé, à pâte molle et tendre, parfumé au rhum et à la vanille, et cuit dans un moule originellement en cuivre, qui lui donne une fine croûte caramélisée"
Cannolo (Italie),,Le cannolo est composé d’une croûte en forme de coquille de pâte frite remplie d’une farce sucrée et crémeuse généralement à base de ricotta.
Carac (Suisse),,Le carac est une tartelette au chocolat avec un glaçage vert.
Cassata (Italie),,"Gâteau italien originaire de Sicile, à base de ricotta, d’un biscuit de type génoise, de pâte d'amande, de fruits confits et d’un glaçage au sucre."
Castel (Algérie),,Pâtisserie à base d'amande ou de noisettes et fourré de crème au beurre pralinée.
Chanteclair (France),,"Pâtisserie à base de meringue, d'un mélange de crème chantilly et crème pâtissière glacée, parfumée de praline et de moka et décorée d'un coq."
Charlotte,,"Dessert moulé, de forme cylindrique ou tronconique, formé d'une croûte faite de biscuits à la cuillère (ou des boudoirs), ou de tranches de pain, ou encore d'une génoise, et dont le centre est garni soit de fruits, soit d'une crème."
Chausson aux pommes,,Pâtisserie à base de pâte feuilletée de forme semi-circulaire ou triangulaire contenant le même type de garniture que la tarte aux pommes.
Chausson italien,,Viennoiserie faite de pâte feuilletée inversée fourrée d'un mélange de crème pâtissière et de pâte à choux avec des raisins secs imprégnés de rhum.
Cheesecake,,"Dessert sucré composé d'un mélange de fromage à la crème, d'œufs, de sucre et de parfums de vanille et/ou de citron, sur une croûte de miettes de biscuits ou une génoise."
Cherpumple,,"Dessert lequel différentes tartes sont cuites au four dans différents gâteaux, puis sont empilées."
Chinois,,Viennoiserie constituée d'une brioche fourrée de crème pâtissière.
Chou à la crème,,"Pâte à choux est aérée et légère gonflé durant la cuisson, laissant cet aspect creux que l'on remplit ensuite de crème fouettée ou de crème pâtissière."
Chouquette,,Pâtisserie soufflée à base de pâte à choux et de perle de sucre.
Christstollen (Allemagne),,"Pain à pâte à la levure lourde, souvent farcie de massepain (pâte d'amande), avec des fruits secs et confits (sultanines, orangeat, citronat) et diverses épices."
Clafoutis,,Gâteau traditionnellement composé de cerises entières non dénoyautées et entièrement recouvertes d'un appareil à flan.
Colombe de Pâques (Italie),,Gâteau moulé en forme de colombe et traditionnellement servi à Pâques.
Concorde,,"Gâteau constitué de strates de meringue au chocolat, de mousse au chocolat et de copeaux de chocolat."
Tarte conversation,,Pâtisserie faite de pâte feuilletée fourrée de crème frangipane avec un glaçage royal.
Cookie (États-Unis),,Petit biscuit rond traditionnel avec des brisures ou pépites de chocolat.
Cornes de gazelles (Maghreb),,"Pâtisserie en forme de petits croissants dont le cœur moelleux contient de la pâte d'amande, de la cannelle et de l'eau de fleur d'oranger, à base de pâte d'amande enrobée de fine pâte sablée parfumée à l'eau de fleur d'oranger."
Cornuelle,,"Gâteau ou pâte sablée, badigeonnée de jaune d'œuf pour lui donner un aspect brillant et doré, et agrémentée de grains d'anis disposés aux trois angles."
